,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,32539,29,Goal,0.9219999694824219,0.485,0.05488787591457367,Karim Benzema,h,2370,FromCorner,2014,Head,5834,Real Madrid,Cordoba,2,0,2014-08-25 19:00:00,Toni Kroos,Aerial
1,32695,68,BlockedShot,0.8290000152587891,0.31799999237060544,0.050836652517318726,Karim Benzema,a,2370,OpenPlay,2014,RightFoot,5844,Real Sociedad,Real Madrid,4,2,2014-08-31 20:00:00,Isco,Pass
2,32703,90,ShotOnPost,0.915,0.54,0.3774489462375641,Karim Benzema,a,2370,OpenPlay,2014,LeftFoot,5844,Real Sociedad,Real Madrid,4,2,2014-08-31 20:00:00,James Rodríguez,Rebound
3,32914,18,MissedShots,0.8030000305175782,0.6990000152587891,0.025250796228647232,Karim Benzema,h,2370,OpenPlay,2014,RightFoot,5789,Real Madrid,Atletico Madrid,1,2,2014-09-13 19:00:00,James Rodríguez,Pass
4,32920,37,MissedShots,0.79,0.6530000305175782,0.03066813200712204,Karim Benzema,h,2370,OpenPlay,2014,RightFoot,5789,Real Madrid,Atletico Madrid,1,2,2014-09-13 19:00:00,Gareth Bale,TakeOn
5,32922,38,SavedShot,0.9280000305175782,0.5129999923706055,0.08686855435371399,Karim Benzema,h,2370,OpenPlay,2014,Head,5789,Real Madrid,Atletico Madrid,1,2,2014-09-13 19:00:00,Cristiano Ronaldo,Aerial
6,33405,15,MissedShots,0.8419999694824218,0.6229999923706054,0.06048477068543434,Karim Benzema,a,2370,OpenPlay,2014,RightFoot,5797,Deportivo La Coruna,Real Madrid,2,8,2014-09-20 15:00:00,Toni Kroos,HeadPass
7,33412,30,SavedShot,0.795,0.5570000076293945,0.04930271580815315,Karim Benzema,a,2370,OpenPlay,2014,LeftFoot,5797,Deportivo La Coruna,Real Madrid,2,8,2014-09-20 15:00:00,Luka Modric,Pass
8,33383,82,BlockedShot,0.9169999694824219,0.31799999237060544,0.1468411237001419,Karim Benzema,a,2370,OpenPlay,2014,RightFoot,5817,Villarreal,Real Madrid,0,2,2014-09-27 15:00:00,Cristiano Ronaldo,Throughball
9,34426,40,Goal,0.9330000305175781,0.47400001525878904,0.06621470302343369,Karim Benzema,h,2370,FromCorner,2014,Head,5763,Real Madrid,Athletic Club,5,0,2014-10-05 20:00:00,Luka Modric,Aerial
10,34433,68,Goal,0.8919999694824219,0.47200000762939454,0.470742404460907,Karim Benzema,h,2370,OpenPlay,2014,RightFoot,5763,Real Madrid,Athletic Club,5,0,2014-10-05 20:00:00,Cristiano Ronaldo,Pass
11,35881,5,MissedShots,0.9519999694824218,0.585,0.10446497052907944,Karim Benzema,h,2370,OpenPlay,2014,RightFoot,5776,Real Madrid,Barcelona,3,1,2014-10-25 17:00:00,James Rodríguez,Throughball
12,35882,10,ShotOnPost,0.894000015258789,0.534000015258789,0.06915067881345749,Karim Benzema,h,2370,OpenPlay,2014,Head,5776,Real Madrid,Barcelona,3,1,2014-10-25 17:00:00,Cristiano Ronaldo,Cross
13,35883,10,ShotOnPost,0.96,0.36700000762939455,0.07197888940572739,Karim Benzema,h,2370,OpenPlay,2014,RightFoot,5776,Real Madrid,Barcelona,3,1,2014-10-25 17:00:00,,Rebound
14,35902,60,Goal,0.88,0.38,0.14632028341293335,Karim Benzema,h,2370,OpenPlay,2014,RightFoot,5776,Real Madrid,Barcelona,3,1,2014-10-25 17:00:00,James Rodríguez,Throughball
15,35906,69,MissedShots,0.7719999694824219,0.44,0.0323551744222641,Karim Benzema,h,2370,OpenPlay,2014,LeftFoot,5776,Real Madrid,Barcelona,3,1,2014-10-25 17:00:00,Toni Kroos,Pass
16,34061,5,BlockedShot,0.9030000305175782,0.39599998474121095,0.11379754543304443,Karim Benzema,a,2370,OpenPlay,2014,RightFoot,5716,Granada,Real Madrid,0,4,2014-11-01 15:00:00,James Rodríguez,Pass
